smiles,p_activity
CC(C)(C)c1cc(c(c(c1)C(C)(C)C)S(=O)(=O)N1CCC(CC1)C(=O)NCc1ccc(Cl)cc1Cl)C(C)(C)C,7.351639989019068
CC(C)(C)c1ccc(NC(=O)NC2CCCCC2)cc1,8.4089353929735
CC(C)(C)c1ccc(NC(=O)Nc2ccc(cc2)C(O)=O)cc1,4.732828271596986
CC(C)(C)c1ccc(cc1)C(=O)NCc1c(Cl)cc(NS(C)(=O)=O)cc1Cl,6.571865205971211
CC(C)(C)c1ccc(cc1)C(=O)NCc1c(F)cc(NS(C)(=O)=O)cc1F,7.070581074285707
CC(C)(C)c1ccc(cc1)C(=O)NCc1ccc(C(O)=O)c(F)c1,4.692503962086787
CC(C)(C)c1ccc(cc1)C(=O)NCc1ccc(C=O)cc1,6.292429823902063
CC(C)(C)c1ccc(cc1)C(=O)NCc1ccc(CC(O)=O)cc1,4.698970004336019
CC(C)(C)c1ccc(cc1)C(=O)NCc1ccc(CCC(O)=O)cc1,5.787812395596042
CC(C)(C)c1ccc(cc1)C(=O)NCc1ccc(CO)cc1,5.688246138944246
CC(C)(C)c1ccc(cc1)C(=O)NCc1ccc(N)cc1,5.455931955649724
CC(C)(C)c1ccc(cc1)C(=O)NCc1ccc(N)cc1Cl,7.3979400086720375
CC(C)(C)c1ccc(cc1)C(=O)NCc1ccc(NC(=O)C(F)(F)F)cc1,6.180456064458131
CC(C)(C)c1ccc(cc1)C(=O)NCc1ccc(NC(=O)C(F)(F)F)cc1Cl,8.050609993355087
CC(C)(C)c1ccc(cc1)C(=O)NCc1ccc(NS(=O)(=O)C(F)(F)F)cc1Cl,7.6777807052660805
CC(C)(C)c1ccc(cc1)C(=O)NCc1ccc(NS(=O)(=O)C2CC2)cc1Cl,8.10790539730952
CC(C)(C)c1ccc(cc1)C(=O)NCc1ccc(NS(C)(=O)=O)cc1,6.187086643357144
CC(C)(C)c1ccc(cc1)C(=O)NCc1ccc(NS(C)(=O)=O)cc1Cl,8.45842075605342
CC(C)(C)c1ccc(cc1)C(=O)NCc1ccc(NS(C)(=O)=O)cc1F,7.795880017344075
CC(C)(C)c1ccc(cc1)C(=O)NCc1ccc(OC(F)(F)F)cc1,6.657577319177793
CC(C)(C)c1ccc(cc1)C(=O)NCc1ccc(OCC(O)=O)cc1,4.721246399047171
CC(C)(C)c1ccc(cc1)C(=O)NCc1ccc(SC(F)(F)F)cc1,6.4089353929735005
CC(C)(C)c1ccc(cc1)C(=O)NCc1ccc(cc1)-c1nnn[nH]1,4.739928612014925
CC(C)(C)c1ccc(cc1)C(=O)NCc1ccc(cc1)C#N,6.040958607678906
CC(C)(C)c1ccc(cc1)C(=O)NCc1ccc(cc1)C(N)=O,5.920818753952375
